#Top: chaos_fifo   Floorplan: rtl_1   Part: xcvu9p-flga2104-2L-e
#Generated by: RISHIK NAIR   on: Sun Nov 30 18:39:38 2025
#Build: Vivado v2018.2   by: xbuild   on: Thu Jun 14 20:03:12 MDT 2018
#Package Version: PRODUCTION 1.1 3/7/2017
#Package Pin Delay Version: PRODUCTION 1.0 2/19/2016

################################################################################
#INVALID / INCOMPLETE PINOUT
#There are 33 unassigned signals in this design. The last 33 rows of this file list these signals.
################################################################################

#The following package pin(s) are connected to master PCIE reset pins, and #    should be tied off to a 1.8V standard - 
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
43,AP36,IOB_X0Y216,IO_L5P_T0U_N8_AD14P_43,115.636,116.799,,,,,,,,,,,,,,,,,,,,
43,AT37,IOB_X0Y219,IO_L6N_T0U_N11_AD6N_43,132.093,133.420,,,,,,,,,,,,,,,,,,,,
43,AR37,IOB_X0Y218,IO_L6P_T0U_N10_AD6P_43,128.209,129.497,,,,,,,,,,,,,,,,,,,,
43,AL36,IOB_X0Y222,IO_L7N_T1L_N1_QBC_AD13N_43,104.171,105.218,,,,,,,,,,,,,,,,,,,,
43,AL35,IOB_X0Y221,IO_L7P_T1L_N0_QBC_AD13P_43,103.368,104.407,,,,,,,,,,,,,,,,,,,,
43,AN35,IOB_X0Y224,IO_L8N_T1L_N3_AD5N_43,97.352,98.331,,,,,,,,,,,,,,,,,,,,
43,AN34,IOB_X0Y223,IO_L8P_T1L_N2_AD5P_43,93.807,94.750,,,,,,,,,,,,,,,,,,,,
43,AN36,IOB_X0Y226,IO_L9N_T1L_N5_AD12N_43,110.872,111.986,,,,,,,,,,,,,,,,,,,,
43,AM36,IOB_X0Y225,IO_L9P_T1L_N4_AD12P_43,108.181,109.268,,,,,,,,,,,,,,,,,,,,
43,AP33,IOB_X0Y228,IO_L10N_T1U_N7_QBC_AD4N_43,98.748,99.740,,,,,,,,,,,,,,,,,,,,
43,AN33,IOB_X0Y227,IO_L10P_T1U_N6_QBC_AD4P_43,98.059,99.044,,,,,,,,,,,,,,,,,,,,
43,AL34,IOB_X0Y230,IO_L11N_T1U_N9_GC_43,93.942,94.886,,,,,,,,,,,,,,,,,,,,
43,AK34,IOB_X0Y229,IO_L11P_T1U_N8_GC_43,95.229,96.186,,,,,,,,,,,,,,,,,,,,
43,AM34,IOB_X0Y232,IO_L12N_T1U_N11_GC_43,94.169,95.116,,,,,,,,,,,,,,,,,,,,
43,AM33,IOB_X0Y231,IO_L12P_T1U_N10_GC_43,93.399,94.338,,,,,,,,,,,,,,,,,,,,
43,AM32,IOB_X0Y235,IO_L13N_T2L_N1_GC_QBC_43,86.456,87.325,,,,,,,,,,,,,,,,,,,,
43,AL32,IOB_X0Y234,IO_L13P_T2L_N0_GC_QBC_43,86.801,87.673,,,,,,,,,,,,,,,,,,,,
43,AK32,IOB_X0Y237,IO_L14N_T2L_N3_GC_43,77.324,78.102,,,,,,,,,,,,,,,,,,,,
43,AJ32,IOB_X0Y236,IO_L14P_T2L_N2_GC_43,78.211,78.998,,,,,,,,,,,,,,,,,,,,
43,AM29,IOB_X0Y239,IO_L15N_T2L_N5_AD11N_43,69.394,70.092,,,,,,,,,,,,,,,,,,,,
43,AL29,IOB_X0Y238,IO_L15P_T2L_N4_AD11P_43,65.718,66.379,,,,,,,,,,,,,,,,,,,,
43,AL31,IOB_X0Y241,IO_L16N_T2U_N7_QBC_AD3N_43,71.141,71.855,,,,,,,,,,,,,,,,,,,,
43,AL30,IOB_X0Y240,IO_L16P_T2U_N6_QBC_AD3P_43,72.028,72.752,,,,,,,,,,,,,,,,,,,,
43,AJ31,IOB_X0Y243,IO_L17N_T2U_N9_AD10N_43,68.822,69.514,,,,,,,,,,,,,,,,,,,,
43,AJ30,IOB_X0Y242,IO_L17P_T2U_N8_AD10P_43,71.374,72.092,,,,,,,,,,,,,,,,,,,,
43,AK30,IOB_X0Y245,IO_L18N_T2U_N11_AD2N_43,60.629,61.239,,,,,,,,,,,,,,,,,,,,
43,AK29,IOB_X0Y244,IO_L18P_T2U_N10_AD2P_43,62.352,62.979,,,,,,,,,,,,,,,,,,,,
43,AK33,IOB_X0Y248,IO_L19N_T3L_N1_DBC_AD9N_43,88.975,89.869,,,,,,,,,,,,,,,,,,,,
43,AJ33,IOB_X0Y247,IO_L19P_T3L_N0_DBC_AD9P_43,89.438,90.337,,,,,,,,,,,,,,,,,,,,
43,AJ36,IOB_X0Y250,IO_L20N_T3L_N3_AD1N_43,101.861,102.885,,,,,,,,,,,,,,,,,,,,
43,AJ35,IOB_X0Y249,IO_L20P_T3L_N2_AD1P_43,92.942,93.876,,,,,,,,,,,,,,,,,,,,
43,AH34,IOB_X0Y252,IO_L21N_T3L_N5_AD8N_43,90.914,91.828,,,,,,,,,,,,,,,,,,,,
43,AH33,IOB_X0Y251,IO_L21P_T3L_N4_AD8P_43,90.951,91.865,,,,,,,,,,,,,,,,,,,,
43,AH35,IOB_X0Y254,IO_L22N_T3U_N7_DBC_AD0N_43,96.008,96.973,,,,,,,,,,,,,,,,,,,,
43,AG34,IOB_X0Y253,IO_L22P_T3U_N6_DBC_AD0P_43,96.618,97.589,,,,,,,,,,,,,,,,,,,,
43,AH31,IOB_X0Y256,IO_L23N_T3U_N9_43,76.131,76.896,,,,,,,,,,,,,,,,,,,,
43,AG31,IOB_X0Y255,IO_L23P_T3U_N8_43,75.860,76.623,,,,,,,,,,,,,,,,,,,,
43,AG33,IOB_X0Y258,IO_L24N_T3U_N11_43,91.829,92.752,,,,,,,,,,,,,,,,,,,,
43,AG32,IOB_X0Y257,IO_L24P_T3U_N10_43,95.983,96.948,,,,,,,,,,,,,,,,,,,,
43,AH32,,VCCO_43,,,,,,,,,,,,,,,,,,,,VCCO_43,0.00-1.80,
43,AJ29,,VREF_43,,,,,,,,,,,,,,,,,,,,,,
43,AK36,,VCCO_43,,,,,,,,,,,,,,,,,,,,VCCO_43,0.00-1.80,
43,AL33,,VCCO_43,,,,,,,,,,,,,,,,,,,,VCCO_43,0.00-1.80,
43,AM30,,VCCO_43,,,,,,,,,,,,,,,,,,,,VCCO_43,0.00-1.80,
43,AP34,,VCCO_43,,,,,,,,,,,,,,,,,,,,VCCO_43,0.00-1.80,
43,AT38,,VCCO_43,,,,,,,,,,,,,,,,,,,,VCCO_43,0.00-1.80,
45,Y33,IOB_X0Y324,IO_T0U_N12_VRP_45,145.404,146.865,,,,,,,,,,,,,,,,,,,,
45,V30,IOB_X0Y337,IO_T1U_N12_45,159.976,161.584,,,,,,,,,,,,,,,,,,,,
45,R36,IOB_X0Y350,IO_T2U_N12_45,167.334,169.016,,,,,,,,,,,,,,,,,,,,
45,K36,IOB_X0Y363,IO_T3U_N12_45,180.874,182.692,,,,,,,,,,,,,,,,,,,,
45,W32,IOB_X0Y313,IO_L1N_T0L_N1_DBC_45,148.959,150.456,,,,,,,,,,,,,,,,,,,,
45,Y32,IOB_X0Y312,IO_L1P_T0L_N0_DBC_45,150.080,151.588,,,,,,,,,,,,,,,,,,,,
45,U33,IOB_X0Y315,IO_L2N_T0L_N3_45,148.460,149.952,,,,,,,,,,,,,,,,,,,,
45,V32,IOB_X0Y314,IO_L2P_T0L_N2_45,154.630,156.184,,,,,,,,,,,,,,,,,,,,
45,W34,IOB_X0Y317,IO_L3N_T0L_N5_AD15N_45,144.780,146.235,,,,,,,,,,,,,,,,,,,,
45,Y34,IOB_X0Y316,IO_L3P_T0L_N4_AD15P_45,149.419,150.921,,,,,,,,,,,,,,,,,,,,
45,T36,IOB_X0Y319,IO_L4N_T0U_N7_DBC_AD7N_45,154.209,155.759,,,,,,,,,,,,,,,,,,,,
45,U35,IOB_X0Y318,IO_L4P_T0U_N6_DBC_AD7P_45,155.503,157.066,,,,,,,,,,,,,,,,,,,,
45,V34,IOB_X0Y321,IO_L5N_T0U_N9_AD14N_45,150.563,152.076,,,,,,,,,,,,,,,,,,,,
45,V33,IOB_X0Y320,IO_L5P_T0U_N8_AD14P_45,154.580,156.134,,,,,,,,,,,,,,,,,,,,
45,T35,IOB_X0Y323,IO_L6N_T0U_N11_AD6N_45,155.213,156.773,,,,,,,,,,,,,,,,,,,,
45,T34,IOB_X0Y322,IO_L6P_T0U_N10_AD6P_45,151.705,153.229,,,,,,,,,,,,,,,,,,,,
45,T31,IOB_X0Y326,IO_L7N_T1L_N1_QBC_AD13N_45,176.747,178.523,,,,,,,,,,,,,,,,,,,,
45,T30,IOB_X0Y325,IO_L7P_T1L_N0_QBC_AD13P_45,175.600,177.365,,,,,,,,,,,,,,,,,,,,
45,U32,IOB_X0Y328,IO_L8N_T1L_N3_AD5N_45,153.649,155.193,,,,,,,,,,,,,,,,,,,,
45,U31,IOB_X0Y327,IO_L8P_T1L_N2_AD5P_45,159.374,160.976,,,,,,,,,,,,,,,,,,,,
45,W31,IOB_X0Y330,IO_L9N_T1L_N5_AD12N_45,151.368,152.889,,,,,,,,,,,,,,,,,,,,
45,Y31,IOB_X0Y329,IO_L9P_T1L_N4_AD12P_45,148.736,150.231,,,,,,,,,,,,,,,,,,,,
45,P31,IOB_X0Y332,IO_L10N_T1U_N7_QBC_AD4N_45,169.561,171.265,,,,,,,,,,,,,,,,,,,,
45,R31,IOB_X0Y331,IO_L10P_T1U_N6_QBC_AD4P_45,170.097,171.807,,,,,,,,,,,,,,,,,,,,
45,P32,IOB_X0Y334,IO_L11N_T1U_N9_GC_45,170.677,172.393,,,,,,,,,,,,,,,,,,,,
45,R32,IOB_X0Y333,IO_L11P_T1U_N8_GC_45,170.030,171.739,,,,,,,,,,,,,,,,,,,,
45,R33,IOB_X0Y336,IO_L12N_T1U_N11_GC_45,166.776,168.452,,,,,,,,,,,,,,,,,,,,
45,T33,IOB_X0Y335,IO_L12P_T1U_N10_GC_45,167.063,168.742,,,,,,,,,,,,,,,,,,,,
45,P34,IOB_X0Y339,IO_L13N_T2L_N1_GC_QBC_45,174.866,176.623,,,,,,,,,,,,,,,,,,,,
45,R34,IOB_X0Y338,IO_L13P_T2L_N0_GC_QBC_45,175.687,177.453,,,,,,,,,,,,,,,,,,,,
45,P36,IOB_X0Y341,IO_L14N_T2L_N3_GC_45,172.676,174.411,,,,,,,,,,,,,,,,,,,,
45,P35,IOB_X0Y340,IO_L14P_T2L_N2_GC_45,171.291,173.013,,,,,,,,,,,,,,,,,,,,
45,L38,IOB_X0Y343,IO_L15N_T2L_N5_AD11N_45,193.440,195.384,,,,,,,,,,,,,,,,,,,,
45,M37,IOB_X0Y342,IO_L15P_T2L_N4_AD11P_45,191.742,193.669,,,,,,,,,,,,,,,,,,,,
45,N37,IOB_X0Y345,IO_L16N_T2U_N7_QBC_AD3N_45,178.804,180.601,,,,,,,,,,,,,,,,,,,,
45,P37,IOB_X0Y344,IO_L16P_T2U_N6_QBC_AD3P_45,179.229,181.030,,,,,,,,,,,,,,,,,,,,
45,L36,IOB_X0Y347,IO_L17N_T2U_N9_AD10N_45,180.932,182.751,,,,,,,,,,,,,,,,,,,,
45,M36,IOB_X0Y346,IO_L17P_T2U_N8_AD10P_45,181.154,182.975,,,,,,,,,,,,,,,,,,,,
45,M38,IOB_X0Y349,IO_L18N_T2U_N11_AD2N_45,181.755,183.582,,,,,,,,,,,,,,,,,,,,
45,N38,IOB_X0Y348,IO_L18P_T2U_N10_AD2P_45,182.543,184.377,,,,,,,,,,,,,,,,,,,,
45,K34,IOB_X0Y352,IO_L19N_T3L_N1_DBC_AD9N_45,177.359,179.141,,,,,,,,,,,,,,,,,,,,
45,L34,IOB_X0Y351,IO_L19P_T3L_N0_DBC_AD9P_45,177.773,179.560,,,,,,,,,,,,,,,,,,,,
45,N35,IOB_X0Y354,IO_L20N_T3L_N3_AD1N_45,165.413,167.076,,,,,,,,,,,,,,,,,,,,
45,N34,IOB_X0Y353,IO_L20P_T3L_N2_AD1P_45,161.001,162.620,,,,,,,,,,,,,,,,,,,,
45,K33,IOB_X0Y356,IO_L21N_T3L_N5_AD8N_45,173.254,174.995,,,,,,,,,,,,,,,,,,,,
45,L33,IOB_X0Y355,IO_L21P_T3L_N4_AD8P_45,167.933,169.621,,,,,,,,,,,,,,,,,,,,
45,M33,IOB_X0Y358,IO_L22N_T3U_N7_DBC_AD0N_45,158.444,160.036,,,,,,,,,,,,,,,,,,,,
45,N33,IOB_X0Y357,IO_L22P_T3U_N6_DBC_AD0P_45,159.306,160.907,,,,,,,,,,,,,,,,,,,,
45,M32,IOB_X0Y360,IO_L23N_T3U_N9_45,155.933,157.500,,,,,,,,,,,,,,,,,,,,
45,N32,IOB_X0Y359,IO_L23P_T3U_N8_45,155.252,156.812,,,,,,,,,,,,,,,,,,,,
45,L35,IOB_X0Y362,IO_L24N_T3U_N11_45,165.685,167.350,,,,,,,,,,,,,,,,,,,,
45,M35,IOB_X0Y361,IO_L24P_T3U_N10_45,168.865,170.562,,,,,,,,,,,,,,,,,,,,
45,L37,,VCCO_45,,,,,,,,,,,,,,,,,,,,VCCO_45,0.00-1.80,
45,M34,,VCCO_45,,,,,,,,,,,,,,,,,,,,VCCO_45,0.00-1.80,
45,P38,,VCCO_45,,,,,,,,,,,,,,,,,,,,VCCO_45,0.00-1.80,
45,R35,,VCCO_45,,,,,,,,,,,,,,,,,,,,VCCO_45,0.00-1.80,
45,T32,,VCCO_45,,,,,,,,,,,,,,,,,,,,VCCO_45,0.00-1.80,
45,U30,,VREF_45,,,,,,,,,,,,,,,,,,,,,,
45,W33,,VCCO_45,,,,,,,,,,,,,,,,,,,,VCCO_45,0.00-1.80,
46,K38,IOB_X0Y376,IO_T0U_N12_VRP_46,205.593,207.659,,,,,,,,,,,,,,,,,,,,
46,E36,IOB_X0Y389,IO_T1U_N12_46,207.230,209.313,,,,,,,,,,,,,,,,,,,,
46,C38,IOB_X0Y402,IO_T2U_N12_46,224.929,227.189,,,,,,,,,,,,,,,,,,,,
46,D36,IOB_X0Y415,IO_T3U_N12_46,204.592,206.649,,,,,,,,,,,,,,,,,,,,
46,J40,IOB_X0Y365,IO_L1N_T0L_N1_DBC_46,217.348,219.533,,,,,,,,,,,,,,,,,,,,
46,J39,IOB_X0Y364,IO_L1P_T0L_N0_DBC_46,217.987,220.178,,,,,,,,,,,,,,,,,,,,
46,H40,IOB_X0Y367,IO_L2N_T0L_N3_46,207.446,209.531,,,,,,,,,,,,,,,,,,,,
46,H39,IOB_X0Y366,IO_L2P_T0L_N2_46,204.693,206.750,,,,,,,,,,,,,,,,,,,,
46,F40,IOB_X0Y369,IO_L3N_T0L_N5_AD15N_46,225.690,227.958,,,,,,,,,,,,,,,,,,,,
46,G40,IOB_X0Y368,IO_L3P_T0L_N4_AD15P_46,226.450,228.726,,,,,,,,,,,,,,,,,,,,
46,G38,IOB_X0Y371,IO_L4N_T0U_N7_DBC_AD7N_46,204.692,206.749,,,,,,,,,,,,,,,,,,,,
46,H38,IOB_X0Y370,IO_L4P_T0U_N6_DBC_AD7P_46,205.556,207.622,,,,,,,,,,,,,,,,,,,,
46,J37,IOB_X0Y373,IO_L5N_T0U_N9_AD14N_46,203.959,206.009,,,,,,,,,,,,,,,,,,,,
46,K37,IOB_X0Y372,IO_L5P_T0U_N8_AD14P_46,209.435,211.540,,,,,,,,,,,,,,,,,,,,
46,F39,IOB_X0Y375,IO_L6N_T0U_N11_AD6N_46,208.017,210.108,,,,,,,,,,,,,,,,,,,,
46,F38,IOB_X0Y374,IO_L6P_T0U_N10_AD6P_46,209.031,211.132,,,,,,,,,,,,,,,,,,,,
46,E34,IOB_X0Y378,IO_L7N_T1L_N1_QBC_AD13N_46,202.814,204.852,,,,,,,,,,,,,,,,,,,,
46,F34,IOB_X0Y377,IO_L7P_T1L_N0_QBC_AD13P_46,203.330,205.373,,,,,,,,,,,,,,,,,,,,
46,H35,IOB_X0Y380,IO_L8N_T1L_N3_AD5N_46,184.186,186.037,,,,,,,,,,,,,,,,,,,,
46,J35,IOB_X0Y379,IO_L8P_T1L_N2_AD5P_46,185.787,187.654,,,,,,,,,,,,,,,,,,,,
46,H37,IOB_X0Y382,IO_L9N_T1L_N5_AD12N_46,199.819,201.828,,,,,,,,,,,,,,,,,,,,
46,J36,IOB_X0Y381,IO_L9P_T1L_N4_AD12P_46,194.240,196.192,,,,,,,,,,,,,,,,,,,,
46,G35,IOB_X0Y384,IO_L10N_T1U_N7_QBC_AD4N_46,191.729,193.656,,,,,,,,,,,,,,,,,,,,
46,H34,IOB_X0Y383,IO_L10P_T1U_N6_QBC_AD4P_46,191.061,192.981,,,,,,,,,,,,,,,,,,,,
46,F36,IOB_X0Y386,IO_L11N_T1U_N9_GC_46,205.222,207.285,,,,,,,,,,,,,,,,,,,,
46,F35,IOB_X0Y385,IO_L11P_T1U_N8_GC_46,204.144,206.196,,,,,,,,,,,,,,,,,,,,
46,G37,IOB_X0Y388,IO_L12N_T1U_N11_GC_46,206.731,208.808,,,,,,,,,,,,,,,,,,,,
46,G36,IOB_X0Y387,IO_L12P_T1U_N10_GC_46,205.774,207.842,,,,,,,,,,,,,,,,,,,,
46,D39,IOB_X0Y391,IO_L13N_T2L_N1_GC_QBC_46,231.560,233.888,,,,,,,,,,,,,,,,,,,,
46,E39,IOB_X0Y390,IO_L13P_T2L_N0_GC_QBC_46,230.422,232.738,,,,,,,,,,,,,,,,,,,,
46,E38,IOB_X0Y393,IO_L14N_T2L_N3_GC_46,223.105,225.347,,,,,,,,,,,,,,,,,,,,
46,E37,IOB_X0Y392,IO_L14P_T2L_N2_GC_46,223.498,225.744,,,,,,,,,,,,,,,,,,,,
46,B40,IOB_X0Y395,IO_L15N_T2L_N5_AD11N_46,250.177,252.691,,,,,,,,,,,,,,,,,,,,
46,C39,IOB_X0Y394,IO_L15P_T2L_N4_AD11P_46,242.021,244.453,,,,,,,,,,,,,,,,,,,,
46,A40,IOB_X0Y397,IO_L16N_T2U_N7_QBC_AD3N_46,239.388,241.794,,,,,,,,,,,,,,,,,,,,
46,A39,IOB_X0Y396,IO_L16P_T2U_N6_QBC_AD3P_46,238.717,241.117,,,,,,,,,,,,,,,,,,,,
46,C40,IOB_X0Y399,IO_L17N_T2U_N9_AD10N_46,239.255,241.659,,,,,,,,,,,,,,,,,,,,
46,D40,IOB_X0Y398,IO_L17P_T2U_N8_AD10P_46,239.422,241.828,,,,,,,,,,,,,,,,,,,,
46,A38,IOB_X0Y401,IO_L18N_T2U_N11_AD2N_46,227.058,229.340,,,,,,,,,,,,,,,,,,,,
46,B38,IOB_X0Y400,IO_L18P_T2U_N10_AD2P_46,224.083,226.335,,,,,,,,,,,,,,,,,,,,
46,C37,IOB_X0Y404,IO_L19N_T3L_N1_DBC_AD9N_46,219.307,221.511,,,,,,,,,,,,,,,,,,,,
46,D37,IOB_X0Y403,IO_L19P_T3L_N0_DBC_AD9P_46,219.054,221.255,,,,,,,,,,,,,,,,,,,,
46,C35,IOB_X0Y406,IO_L20N_T3L_N3_AD1N_46,207.021,209.101,,,,,,,,,,,,,,,,,,,,
46,D35,IOB_X0Y405,IO_L20P_T3L_N2_AD1P_46,208.530,210.626,,,,,,,,,,,,,,,,,,,,
46,C34,IOB_X0Y408,IO_L21N_T3L_N5_AD8N_46,202.946,204.986,,,,,,,,,,,,,,,,,,,,
46,D34,IOB_X0Y407,IO_L21P_T3L_N4_AD8P_46,197.998,199.988,,,,,,,,,,,,,,,,,,,,
46,B37,IOB_X0Y410,IO_L22N_T3U_N7_DBC_AD0N_46,216.433,218.608,,,,,,,,,,,,,,,,,,,,
46,B36,IOB_X0Y409,IO_L22P_T3U_N6_DBC_AD0P_46,216.992,219.173,,,,,,,,,,,,,,,,,,,,
46,A36,IOB_X0Y412,IO_L23N_T3U_N9_46,221.544,223.770,,,,,,,,,,,,,,,,,,,,
46,B35,IOB_X0Y411,IO_L23P_T3U_N8_46,223.445,225.690,,,,,,,,,,,,,,,,,,,,
46,A35,IOB_X0Y414,IO_L24N_T3U_N11_46,213.868,216.017,,,,,,,,,,,,,,,,,,,,
46,A34,IOB_X0Y413,IO_L24P_T3U_N10_46,212.870,215.010,,,,,,,,,,,,,,,,,,,,
46,A37,,VCCO_46,,,,,,,,,,,,,,,,,,,,VCCO_46,0.00-1.80,
46,B34,,VCCO_46,,,,,,,,,,,,,,,,,,,,VCCO_46,0.00-1.80,
46,D38,,VCCO_46,,,,,,,,,,,,,,,,,,,,VCCO_46,0.00-1.80,
46,E35,,VCCO_46,,,,,,,,,,,,,,,,,,,,VCCO_46,0.00-1.80,
46,G39,,VCCO_46,,,,,,,,,,,,,,,,,,,,VCCO_46,0.00-1.80,
46,H36,,VCCO_46,,,,,,,,,,,,,,,,,,,,VCCO_46,0.00-1.80,
46,J34,,VREF_46,,,,,,,,,,,,,,,,,,,,,,
47,T29,IOB_X0Y428,IO_T0U_N12_VRP_47,119.549,120.750,,,,,,,,,,,,,,,,,,,,
47,K29,IOB_X0Y441,IO_T1U_N12_47,133.965,135.311,,,,,,,,,,,,,,,,,,,,
47,D30,IOB_X0Y454,IO_T2U_N12_47,166.338,168.009,,,,,,,,,,,,,,,,,,,,
47,A29,IOB_X0Y467,IO_T3U_N12_47,194.591,196.547,,,,,,,,,,,,,,,,,,,,
47,R29,IOB_X0Y417,IO_L1N_T0L_N1_DBC_47,121.773,122.997,,,,,,,,,,,,,,,,,,,,
47,R28,IOB_X0Y416,IO_L1P_T0L_N0_DBC_47,122.230,123.459,,,,,,,,,,,,,,,,,,,,
47,L31,IOB_X0Y419,IO_L2N_T0L_N3_47,130.647,131.960,,,,,,,,,,,,,,,,,,,,
47,M31,IOB_X0Y418,IO_L2P_T0L_N2_47,134.825,136.180,,,,,,,,,,,,,,,,,,,,
47,P30,IOB_X0Y421,IO_L3N_T0L_N5_AD15N_47,121.030,122.246,,,,,,,,,,,,,,,,,,,,
47,P29,IOB_X0Y420,IO_L3P_T0L_N4_AD15P_47,124.893,126.148,,,,,,,,,,,,,,,,,,,,
47,M30,IOB_X0Y423,IO_L4N_T0U_N7_DBC_AD7N_47,132.867,134.202,,,,,,,,,,,,,,,,,,,,
47,N30,IOB_X0Y422,IO_L4P_T0U_N6_DBC_AD7P_47,132.306,133.636,,,,,,,,,,,,,,,,,,,,
47,N29,IOB_X0Y425,IO_L5N_T0U_N9_AD14N_47,120.027,121.233,,,,,,,,,,,,,,,,,,,,
47,N28,IOB_X0Y424,IO_L5P_T0U_N8_AD14P_47,130.970,132.286,,,,,,,,,,,,,,,,,,,,
47,L30,IOB_X0Y427,IO_L6N_T0U_N11_AD6N_47,126.098,127.365,,,,,,,,,,,,,,,,,,,,
47,L29,IOB_X0Y426,IO_L6P_T0U_N10_AD6P_47,133.285,134.625,,,,,,,,,,,,,,,,,,,,
47,J31,IOB_X0Y430,IO_L7N_T1L_N1_QBC_AD13N_47,141.659,143.082,,,,,,,,,,,,,,,,,,,,
47,K31,IOB_X0Y429,IO_L7P_T1L_N0_QBC_AD13P_47,140.391,141.802,,,,,,,,,,,,,,,,,,,,
47,J32,IOB_X0Y432,IO_L8N_T1L_N3_AD5N_47,145.138,146.597,,,,,,,,,,,,,,,,,,,,
47,K32,IOB_X0Y431,IO_L8P_T1L_N2_AD5P_47,140.957,142.374,,,,,,,,,,,,,,,,,,,,
47,J30,IOB_X0Y434,IO_L9N_T1L_N5_AD12N_47,139.136,140.535,,,,,,,,,,,,,,,,,,,,
47,J29,IOB_X0Y433,IO_L9P_T1L_N4_AD12P_47,136.593,137.966,,,,,,,,,,,,,,,,,,,,
47,G33,IOB_X0Y436,IO_L10N_T1U_N7_QBC_AD4N_47,159.833,161.439,,,,,,,,,,,,,,,,,,,,
47,H33,IOB_X0Y435,IO_L10P_T1U_N6_QBC_AD4P_47,160.678,162.293,,,,,,,,,,,,,,,,,,,,
47,H30,IOB_X0Y438,IO_L11N_T1U_N9_GC_47,145.132,146.591,,,,,,,,,,,,,,,,,,,,
47,H29,IOB_X0Y437,IO_L11P_T1U_N8_GC_47,145.996,147.463,,,,,,,,,,,,,,,,,,,,
47,G32,IOB_X0Y440,IO_L12N_T1U_N11_GC_47,154.009,155.557,,,,,,,,,,,,,,,,,,,,
47,H32,IOB_X0Y439,IO_L12P_T1U_N10_GC_47,153.078,154.617,,,,,,,,,,,,,,,,,,,,
47,F31,IOB_X0Y443,IO_L13N_T2L_N1_GC_QBC_47,161.689,163.314,,,,,,,,,,,,,,,,,,,,
47,G31,IOB_X0Y442,IO_L13P_T2L_N0_GC_QBC_47,163.036,164.675,,,,,,,,,,,,,,,,,,,,
47,F30,IOB_X0Y445,IO_L14N_T2L_N3_GC_47,168.664,170.360,,,,,,,,,,,,,,,,,,,,
47,G30,IOB_X0Y444,IO_L14P_T2L_N2_GC_47,168.376,170.068,,,,,,,,,,,,,,,,,,,,
47,E33,IOB_X0Y447,IO_L15N_T2L_N5_AD11N_47,174.507,176.261,,,,,,,,,,,,,,,,,,,,
47,F33,IOB_X0Y446,IO_L15P_T2L_N4_AD11P_47,174.949,176.707,,,,,,,,,,,,,,,,,,,,
47,D31,IOB_X0Y449,IO_L16N_T2U_N7_QBC_AD3N_47,169.025,170.723,,,,,,,,,,,,,,,,,,,,
47,E31,IOB_X0Y448,IO_L16P_T2U_N6_QBC_AD3P_47,168.355,170.047,,,,,,,,,,,,,,,,,,,,
47,D32,IOB_X0Y451,IO_L17N_T2U_N9_AD10N_47,176.022,177.791,,,,,,,,,,,,,,,,,,,,
47,E32,IOB_X0Y450,IO_L17P_T2U_N8_AD10P_47,173.716,175.462,,,,,,,,,,,,,,,,,,,,
47,E29,IOB_X0Y453,IO_L18N_T2U_N11_AD2N_47,168.518,170.212,,,,,,,,,,,,,,,,,,,,
47,F29,IOB_X0Y452,IO_L18P_T2U_N10_AD2P_47,168.039,169.728,,,,,,,,,,,,,,,,,,,,
47,C33,IOB_X0Y456,IO_L19N_T3L_N1_DBC_AD9N_47,191.178,193.100,,,,,,,,,,,,,,,,,,,,
47,C32,IOB_X0Y455,IO_L19P_T3L_N0_DBC_AD9P_47,190.588,192.503,,,,,,,,,,,,,,,,,,,,
47,B32,IOB_X0Y458,IO_L20N_T3L_N3_AD1N_47,185.789,187.656,,,,,,,,,,,,,,,,,,,,
47,B31,IOB_X0Y457,IO_L20P_T3L_N2_AD1P_47,180.932,182.751,,,,,,,,,,,,,,,,,,,,
47,A33,IOB_X0Y460,IO_L21N_T3L_N5_AD8N_47,194.684,196.641,,,,,,,,,,,,,,,,,,,,
47,B33,IOB_X0Y459,IO_L21P_T3L_N4_AD8P_47,193.755,195.703,,,,,,,,,,,,,,,,,,,,
47,A31,IOB_X0Y462,IO_L22N_T3U_N7_DBC_AD0N_47,183.157,184.998,,,,,,,,,,,,,,,,,,,,
47,A30,IOB_X0Y461,IO_L22P_T3U_N6_DBC_AD0P_47,182.930,184.768,,,,,,,,,,,,,,,,,,,,
47,B30,IOB_X0Y464,IO_L23N_T3U_N9_47,177.565,179.349,,,,,,,,,,,,,,,,,,,,
47,C30,IOB_X0Y463,IO_L23P_T3U_N8_47,173.470,175.214,,,,,,,,,,,,,,,,,,,,
47,C29,IOB_X0Y466,IO_L24N_T3U_N11_47,173.711,175.456,,,,,,,,,,,,,,,,,,,,
47,D29,IOB_X0Y465,IO_L24P_T3U_N10_47,170.036,171.744,,,,,,,,,,,,,,,,,,,,
47,C31,,VCCO_47,,,,,,,,,,,,,,,,,,,,VCCO_47,0.00-1.80,
